지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s)
제주시,2017/01/01,6.6,9.2,4.2,50.7,3.7,13.1,21.8
제주시,2017/02/01,6.8,10.3,3.3,39.1,3.9,13.8,27.3
제주시,2017/03/01,9.8,13,6.9,48.2,3.3,10.1,17.6
제주시,2017/04/01,15.7,19.5,12.4,51.4,3.1,10.7,20.3
제주시,2017/05/01,19.5,23.6,16.1,38.5,2.6,10.6,19.4
제주시,2017/06/01,22,25.3,19.5,60.7,2.5,8.2,13.8
제주시,2017/07/01,29.2,32.7,26.5,35.2,2.7,9.7,19
제주시,2017/08/01,28.7,32,26.1,159.5,2.8,8.5,13.5
제주시,2017/09/01,24,27.2,21.6,83.4,2.9,8.7,16.1
제주시,2017/10/01,19.3,21.8,16.9,162,3.2,10.4,19.3
제주시,2017/11/01,12.6,16,9.5,19.2,3,10.1,17.1
제주시,2017/12/01,7.2,9.8,4.6,25.4,3.9,11.8,20.5
서귀포시,2017/01/01,7.5,11,4.4,49,1.8,6.7,13.1
서귀포시,2017/02/01,7.9,11.8,4,81.8,1.9,6.3,13.1
서귀포시,2017/03/01,10.3,13.8,6.8,36.3,1.8,6,15.9
서귀포시,2017/04/01,15.7,19.1,12.7,222.5,1.7,6.8,13.6
서귀포시,2017/05/01,19.2,22.9,16.2,59.2,1.5,5.8,10.7
서귀포시,2017/06/01,22.1,25.1,19.6,247.4,1.5,5.6,11.7
서귀포시,2017/07/01,27.5,30,25.7,51.8,1.8,5.1,9.7
서귀포시,2017/08/01,28.2,31.4,25.7,231.8,1.8,5.6,9.7
서귀포시,2017/09/01,24.2,27.4,21.7,102.8,2.1,7.5,14.8
서귀포시,2017/10/01,19.8,22.9,17.1,231.4,2.3,8.9,15.3
서귀포시,2017/11/01,13.8,17.3,10.2,6.7,1.4,6.8,11.8
서귀포시,2017/12/01,7.3,10.9,4.2,13.3,1.6,7.9,12.3
