지점,일시,평균기온,일강수량,평균 풍속
184,2019-09-01,23.3,26.1,2
184,2019-09-02,24.1,25.7,2.4
184,2019-09-03,24.8,13.9,2.2
184,2019-09-04,24.7,43,1.6
184,2019-09-05,26.2,7,1.6
184,2019-09-06,26.8,68.8,4.2
184,2019-09-07,27.6,34.3,6.5
184,2019-09-08,24.5,19,2
184,2019-09-09,26.2,24.7,2.7
184,2019-09-10,27,0,1.7
184,2019-09-11,26,5,1.8
184,2019-09-12,24.1,0.6,3.2
184,2019-09-13,24,,3
184,2019-09-14,24.3,,2.1
184,2019-09-15,24.6,,1.9
184,2019-09-16,24.6,0,1.9
184,2019-09-17,23.8,,2.8
184,2019-09-18,23.3,,2.4
184,2019-09-19,22.8,,3.2
184,2019-09-20,22.5,0,3.9
184,2019-09-21,20.5,156,5.3
184,2019-09-22,20.4,126.2,9.2
184,2019-09-23,21,0,2.5
184,2019-09-24,20.4,,2
184,2019-09-25,21.8,,2.5
184,2019-09-26,23.8,1,3.6
184,2019-09-27,23.8,36,3.1
184,2019-09-28,24.1,0.7,2
184,2019-09-29,24.1,0,1.5
184,2019-09-30,23.6,22.6,1.2
189,2019-09-01,22.6,18.7,1.7
189,2019-09-02,25,14.6,1.7
189,2019-09-03,25.5,9.5,1.3
189,2019-09-04,25,28.9,1.1
189,2019-09-05,26.4,15.7,1.2
189,2019-09-06,26,54.1,3.4
189,2019-09-07,25.1,6.9,5.2
189,2019-09-08,24.2,29.5,1.4
189,2019-09-09,25.6,21.9,2.3
189,2019-09-10,26.4,,1.2
189,2019-09-11,27,,1.2
189,2019-09-12,24.5,0,3
189,2019-09-13,24.2,,3.3
189,2019-09-14,24.9,,1.8
189,2019-09-15,25.1,,1.3
189,2019-09-16,24.8,,2.1
189,2019-09-17,23.7,,3.1
189,2019-09-18,24.5,,1.9
189,2019-09-19,23.2,,3.5
189,2019-09-20,22.7,0.7,3.8
189,2019-09-21,20.7,57.8,5.3
189,2019-09-22,21.4,78.9,5.8
189,2019-09-23,20.9,0.6,1.1
189,2019-09-24,20.8,,1.5
189,2019-09-25,21.7,,1.8
189,2019-09-26,23.9,0.1,2.4
189,2019-09-27,24.4,12.4,1.4
189,2019-09-28,25.5,,1.1
189,2019-09-29,24.4,38.3,0.9
189,2019-09-30,24.3,6.3,0.8
