환승센터명,환승센터유형코드,시도명,시군구명,소재지도로명주소,환승센터면적,버스정류소명,점자판설치여부,무장애환경여부,지정일자,지정목적,개발시작년도,개발종료년도,개발주체유형코드,운영유무,데이터기준일자
고산환승정류장,5,제주특별자치도,제주시,제주특별자치도 제주시 한경면 칠전로 1,24,고산환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
김녕환승정류장,5,제주특별자치도,제주시,제주특별자치도 제주시 구좌읍 김녕로 117,24,김녕환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
세화환승정류장,5,제주특별자치도,제주시,제주특별자치도 제주시 구좌읍 구좌로 47,24,세화환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
신창환승정류장,5,제주특별자치도,제주시,제주특별자치도 제주시 한경면 두신로 87,24,신창환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
애월환승정류장,5,제주특별자치도,제주시,제주특별자치도 제주시 애월읍 애월로 118,24,애월환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
조천환승정류장,5,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 신북로 251,24,조천환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
하귀환승정류장,5,제주특별자치도,제주시,제주특별자치도 제주시 애월읍 일주서로 7136,24,하귀환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
한림환승정류장,5,제주특별자치도,제주시,제주특별자치도 제주시 한림읍 한림로 664,24,한림환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
함덕환승정류장,5,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 신북로 554,24,함덕환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
남원환승정류장,5,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남원읍 남원체육관로 342,24,남원환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
대정환승정류장,5,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 동일하모로 206-1,24,대정환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
대천환승정류장,5,제주특별자치도,서귀포시,제주특별자치도 제주시 구좌읍 번영로 2009,24,대천환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
동광환승정류장,5,제주특별자치도,서귀포시,제주특별자치도 서귀포시 안덕면 신화역사로 493,24,동광환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
서귀포환승정류장,5,제주특별자치도,서귀포시,제주특별자치도 서귀포시 일주동로 8690,8620,서귀포환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
성산환승정류장,5,제주특별자치도,서귀포시,제주특별자치도 서귀포시 성산읍 일출로 12,24,성산환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
성읍환승정류장,5,제주특별자치도,서귀포시,제주특별자치도 서귀포시 표선면 성읍민속로 137,24,성읍환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
신산환승정류장,5,제주특별자치도,서귀포시,제주특별자치도 서귀포시 성산읍 일주동로 5122,24,신산환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
의귀환승정류장,5,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남원읍 한신로 213,24,의귀환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
중문환승정류장,5,제주특별자치도,서귀포시,제주특별자치도 서귀포시 천제연로 175,24,중문환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
표선환승정류장,5,제주특별자치도,서귀포시,제주특별자치도 서귀포시 표선면 표선중앙로 75,24,표선환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
하례환승정류장,5,제주특별자치도,서귀포시,제주특별자치도 서귀포시 516로 574-5,24,하례환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
화순환승정류장,5,제주특별자치도,서귀포시,제주특별자치도 서귀포시 안덕면 화순로 104,24,화순환승정류장,Y,Y,2017-08-06,,2017,2017,2,Y,2019-06-20
